Wavelength,Reflectance
400,0.02
401,0.02015
402,0.020300000000000002
403,0.02045
404,0.0206
405,0.02075
406,0.020900000000000002
407,0.02105
408,0.0212
409,0.02135
410,0.021500000000000002
411,0.02165
412,0.0218
413,0.02195
414,0.0221
415,0.02225
416,0.0224
417,0.02255
418,0.0227
419,0.02285
420,0.023
421,0.02315
422,0.0233
423,0.02345
424,0.0236
425,0.02375
426,0.0239
427,0.024050000000000002
428,0.0242
429,0.02435
430,0.0245
431,0.02465
432,0.0248
433,0.02495
434,0.0251
435,0.02525
436,0.0254
437,0.02555
438,0.0257
439,0.025849999999999998
440,0.026000000000000002
441,0.02615
442,0.0263
443,0.02645
444,0.0266
445,0.02675
446,0.0269
447,0.02705
448,0.027200000000000002
449,0.02735
450,0.0275
451,0.02765
452,0.027800000000000002
453,0.02795
454,0.0281
455,0.02825
456,0.0284
457,0.02855
458,0.0287
459,0.02885
460,0.028999999999999998
461,0.02915
462,0.0293
463,0.02945
464,0.0296
465,0.02975
466,0.0299
467,0.03005
468,0.0302
469,0.030350000000000002
470,0.0305
471,0.03065
472,0.0308
473,0.03095
474,0.0311
475,0.03125
476,0.0314
477,0.03155
478,0.0317
479,0.03185
480,0.032
481,0.03215
482,0.0323
483,0.03245
484,0.032600000000000004
485,0.03275
486,0.0329
487,0.033049999999999996
488,0.0332
489,0.03335
490,0.0335
491,0.03365
492,0.0338
493,0.03395
494,0.0341
495,0.03425
496,0.0344
497,0.03455
498,0.0347
499,0.03485
500,0.035
501,0.03515
502,0.0353
503,0.035449999999999995
504,0.0356
505,0.035750000000000004
506,0.0359
507,0.03605
508,0.036199999999999996
509,0.03635
510,0.036500000000000005
511,0.03665
512,0.0368
513,0.03695
514,0.0371
515,0.03725
516,0.0374
517,0.03755
518,0.0377
519,0.037849999999999995
520,0.038
521,0.03815
522,0.0383
523,0.03845
524,0.038599999999999995
525,0.03875
526,0.038900000000000004
527,0.03905
528,0.0392
529,0.039349999999999996
530,0.0395
531,0.03965
532,0.0398
533,0.03995
534,0.0401
535,0.04025
536,0.040400000000000005
537,0.04055
538,0.0407
539,0.04085
540,0.041
541,0.04115
542,0.0413
543,0.04145
544,0.0416
545,0.041749999999999995
546,0.0419
547,0.042050000000000004
548,0.0422
549,0.04235
550,0.042499999999999996
551,0.04265
552,0.0428
553,0.04295
554,0.0431
555,0.04325
556,0.043399999999999994
557,0.043550000000000005
558,0.0437
559,0.04385
560,0.044
561,0.04415
562,0.0443
563,0.04445
564,0.0446
565,0.04475
566,0.044899999999999995
567,0.04505
568,0.045200000000000004
569,0.04535
570,0.0455
571,0.045649999999999996
572,0.0458
573,0.04595
574,0.0461
575,0.04625
576,0.0464
577,0.046549999999999994
578,0.0467
579,0.04685
580,0.047
581,0.04715
582,0.0473
583,0.047450000000000006
584,0.0476
585,0.04775
586,0.0479
587,0.048049999999999995
588,0.0482
589,0.048350000000000004
590,0.0485
591,0.04865
592,0.048799999999999996
593,0.04895
594,0.0491
595,0.04925
596,0.0494
597,0.04955
598,0.049699999999999994
599,0.04985
600,0.05
601,0.05015
602,0.0503
603,0.050449999999999995
604,0.050600000000000006
605,0.050749999999999997
606,0.0509
607,0.05105
608,0.0512
609,0.05134999999999999
610,0.051500000000000004
611,0.05165
612,0.0518
613,0.051949999999999996
614,0.052099999999999994
615,0.052250000000000005
616,0.0524
617,0.05255
618,0.0527
619,0.052849999999999994
620,0.053000000000000005
621,0.05315
622,0.0533
623,0.05345
624,0.053599999999999995
625,0.053750000000000006
626,0.0539
627,0.05405
628,0.0542
629,0.054349999999999996
630,0.05449999999999999
631,0.054650000000000004
632,0.0548
633,0.05495
634,0.055099999999999996
635,0.055249999999999994
636,0.055400000000000005
637,0.05555
638,0.0557
639,0.05585
640,0.055999999999999994
641,0.05614999999999999
642,0.0563
643,0.05645
644,0.0566
645,0.056749999999999995
646,0.056900000000000006
647,0.057050000000000003
648,0.0572
649,0.05735
650,0.057499999999999996
651,0.05764999999999999
652,0.057800000000000004
653,0.05795
654,0.0581
655,0.058249999999999996
656,0.058399999999999994
657,0.058550000000000005
658,0.0587
659,0.05885
660,0.059
661,0.059149999999999994
662,0.05929999999999999
663,0.05945
664,0.0596
665,0.05975
666,0.059899999999999995
667,0.060050000000000006
668,0.06019999999999999
669,0.06035
670,0.0605
671,0.060649999999999996
672,0.06080000000000001
673,0.060950000000000004
674,0.0611
675,0.06125
676,0.061399999999999996
677,0.06155000000000001
678,0.061700000000000005
679,0.06185
680,0.062
681,0.06215
682,0.062299999999999994
683,0.062450000000000006
684,0.0626
685,0.06275
686,0.0629
687,0.06305
688,0.0632
689,0.06335
690,0.0635
691,0.06365
692,0.0638
693,0.06394999999999999
694,0.0641
695,0.06425
696,0.0644
697,0.06455
698,0.0647
699,0.06484999999999999
700,0.065
701,0.06515
702,0.0653
703,0.06545
704,0.06559999999999999
705,0.06575
706,0.0659
707,0.06605
708,0.0662
709,0.06634999999999999
710,0.06649999999999999
711,0.06665
712,0.0668
713,0.06695
714,0.0671
715,0.06724999999999999
716,0.0674
717,0.06755
718,0.0677
719,0.06785000000000001
720,0.068
721,0.06815
722,0.0683
723,0.06845
724,0.0686
725,0.06875
726,0.0689
727,0.06905
728,0.0692
729,0.06935
730,0.0695
731,0.06965
732,0.0698
733,0.06995
734,0.0701
735,0.07024999999999999
736,0.0704
737,0.07055
738,0.0707
739,0.07085
740,0.071
741,0.07115
742,0.0713
743,0.07145
744,0.0716
745,0.07175
746,0.07189999999999999
747,0.07205
748,0.0722
749,0.07235
750,0.0725
751,0.07264999999999999
752,0.07279999999999999
753,0.07295
754,0.0731
755,0.07325
756,0.07339999999999999
757,0.07354999999999999
758,0.0737
759,0.07385
760,0.074
761,0.07415000000000001
762,0.07429999999999999
763,0.07444999999999999
764,0.0746
765,0.07475
766,0.07490000000000001
767,0.07505
768,0.0752
769,0.07535
770,0.0755
771,0.07565
772,0.0758
773,0.07595
774,0.0761
775,0.07625
776,0.0764
777,0.07654999999999999
778,0.0767
779,0.07685
780,0.077
781,0.07715
782,0.0773
783,0.07745
784,0.0776
785,0.07775
786,0.0779
787,0.07805
788,0.07819999999999999
789,0.07835
790,0.0785
791,0.07865
792,0.0788
793,0.07894999999999999
794,0.0791
795,0.07925
796,0.0794
797,0.07955
798,0.0797
799,0.07984999999999999
800,0.08
