Wavelength,Reflectance
400,0.05000000001691898
401,0.05000000002281541
402,0.05000000003070532
403,0.05000000004124113
404,0.05000000005528138
405,0.050000000073953464
406,0.05000000009873466
407,0.05000000013155645
408,0.050000000174938775
409,0.050000000232162146
410,0.05000000030748799
411,0.050000000406439885
412,0.050000000536161826
413,0.05000000070587349
414,0.05000000092744735
415,0.05000000121613859
416,0.05000000159150601
417,0.05000000207857122
418,0.05000000270927411
419,0.050000003524296156
420,0.05000000457533877
421,0.05000000592796358
422,0.05000000766512442
423,0.05000000989154888
424,0.05000001273916038
425,0.05000001637377131
426,0.05000002100332469
427,0.05000002688801757
428,0.05000003435270432
429,0.05000004380205544
430,0.05000005573903693
431,0.05000007078738055
432,0.05000008971883673
433,0.0500001134861433
434,0.050000143262805455
435,0.050000180490969125
436,0.05000022693888314
437,0.05000028476968876
438,0.05000035662355012
439,0.050000445715450016
440,0.05000055595132417
441,0.05000069206559664
442,0.050000859783612274
443,0.0500010660129405
444,0.050001319068050595
445,0.05000162893343285
446,0.050002007570862254
447,0.05000246927717218
448,0.0500030310996212
449,0.05000371331669445
450,0.05000453999297625
451,0.05000553961755493
452,0.05000674583626531
453,0.05000819828892629
454,0.05000994356357499
455,0.050012036280516724
456,0.050014540319779775
457,0.05001753020625985
458,0.050021092667431086
459,0.05002532837895611
460,0.05003035391380789
461,0.05003630391058092
462,0.05004333347647149
463,0.05005162083989932
464,0.050061370266872275
465,0.05007281525390895
466,0.050086222008574446
467,0.050101893226396306
468,0.050120172170055106
469,0.05014144705323434
470,0.0501661557273174
471,0.050194790664192517
472,0.05022790422273409
473,0.05026611418004494
474,0.05031010950125723
475,0.05036065631360158
476,0.05041860404158507
477,0.05048489165051038
478,0.05056055393528257
479,0.05064672778057666
480,0.05074465830709244
481,0.0508557048069478
482,0.05098134635943195
483,0.05112318700655912
484,0.05128296035636744
485,0.05146253347095942
486,0.051663909886172366
487,0.05188923160081496
488,0.052140779865948436
489,0.05242097459907914
490,0.05273237224472926
491,0.05307766190202906
492,0.0534596595420892
493,0.05388130014331217
494,0.054345627581810226
495,0.054855782127001
496,0.055414985409492426
497,0.056026522749729885
498,0.05669372276167502
499,0.05741993417605329
500,0.058208499862389886
501,0.05906272806799839
502,0.05998586093503032
503,0.06098104040326392
504,0.06205127165601494
505,0.06319938431878303
506,0.06442799167427882
507,0.06573944821247371
508,0.06713580588933574
509,0.06861876952193041
510,0.07018965179946554
511,0.07184932843847631
512,0.07359819405447586
513,0.07543611936081947
514,0.0773624103370408
515,0.07937577003235328
516,0.0814742636842782
517,0.0836552878364737
518,0.08591554413294046
519,0.08825101844717805
520,0.09065696597405992
521,0.09312790286889785
522,0.09565760496233147
523,0.0982391140115126
524,0.10086475186803137
525,0.10352614285189904
526,0.10621424451968225
527,0.10891938690486437
528,0.11163132019122897
529,0.11433927065729563
530,0.11703200460356394
531,0.11969789984668727
532,0.12232502423798425
533,0.12490122054026694
534,0.12741419687922484
535,0.1298516218759377
536,0.13220122346781865
537,0.13445089033860344
538,0.13658877480592052
539,0.13860339595928756
540,0.14048374180359596
541,0.14221936914446082
542,0.14380049995307295
543,0.1452181129698505
544,0.14646402934831232
545,0.14753099120283325
546,0.1484127320055285
547,0.14910403787728838
548,0.14960079893439915
549,0.1499000499833375
550,0.15000000000000002
551,0.1499000499833375
552,0.14960079893439915
553,0.14910403787728838
554,0.1484127320055285
555,0.14753099120283325
556,0.14646402934831232
557,0.1452181129698505
558,0.14380049995307295
559,0.14221936914446082
560,0.14048374180359596
561,0.13860339595928756
562,0.13658877480592052
563,0.13445089033860344
564,0.13220122346781865
565,0.1298516218759377
566,0.12741419687922484
567,0.12490122054026694
568,0.12232502423798425
569,0.11969789984668727
570,0.11703200460356394
571,0.11433927065729563
572,0.11163132019122897
573,0.10891938690486437
574,0.10621424451968225
575,0.10352614285189904
576,0.10086475186803137
577,0.0982391140115126
578,0.09565760496233147
579,0.09312790286889785
580,0.09065696597405992
581,0.08825101844717805
582,0.08591554413294046
583,0.0836552878364737
584,0.0814742636842782
585,0.07937577003235328
586,0.0773624103370408
587,0.07543611936081947
588,0.07359819405447586
589,0.07184932843847631
590,0.07018965179946554
591,0.06861876952193041
592,0.06713580588933574
593,0.06573944821247371
594,0.06442799167427882
595,0.06319938431878303
596,0.06205127165601494
597,0.06098104040326392
598,0.05998586093503032
599,0.05906272806799839
600,0.058208499862389886
601,0.05741993417605329
602,0.05669372276167502
603,0.056026522749729885
604,0.055414985409492426
605,0.054855782127001
606,0.054345627581810226
607,0.05388130014331217
608,0.0534596595420892
609,0.05307766190202906
610,0.05273237224472926
611,0.05242097459907914
612,0.052140779865948436
613,0.05188923160081496
614,0.051663909886172366
615,0.05146253347095942
616,0.05128296035636744
617,0.05112318700655912
618,0.05098134635943195
619,0.0508557048069478
620,0.05074465830709244
621,0.05064672778057666
622,0.05056055393528257
623,0.05048489165051038
624,0.05041860404158507
625,0.05036065631360158
626,0.05031010950125723
627,0.05026611418004494
628,0.05022790422273409
629,0.050194790664192517
630,0.0501661557273174
631,0.05014144705323434
632,0.050120172170055106
633,0.050101893226396306
634,0.050086222008574446
635,0.05007281525390895
636,0.050061370266872275
637,0.05005162083989932
638,0.05004333347647149
639,0.05003630391058092
640,0.05003035391380789
641,0.05002532837895611
642,0.050021092667431086
643,0.05001753020625985
644,0.050014540319779775
645,0.050012036280516724
646,0.05000994356357499
647,0.05000819828892629
648,0.05000674583626531
649,0.05000553961755493
650,0.05000453999297625
651,0.05000371331669445
652,0.0500030310996212
653,0.05000246927717218
654,0.050002007570862254
655,0.05000162893343285
656,0.050001319068050595
657,0.0500010660129405
658,0.050000859783612274
659,0.05000069206559664
660,0.05000055595132417
661,0.050000445715450016
662,0.05000035662355012
663,0.05000028476968876
664,0.05000022693888314
665,0.050000180490969125
666,0.050000143262805455
667,0.0500001134861433
668,0.05000008971883673
669,0.05000007078738055
670,0.05000005573903693
671,0.05000004380205544
672,0.05000003435270432
673,0.05000002688801757
674,0.05000002100332469
675,0.05000001637377131
676,0.05000001273916038
677,0.05000000989154888
678,0.05000000766512442
679,0.05000000592796358
680,0.05000000457533877
681,0.050000003524296156
682,0.05000000270927411
683,0.05000000207857122
684,0.05000000159150601
685,0.05000000121613859
686,0.05000000092744735
687,0.05000000070587349
688,0.050000000536161826
689,0.050000000406439885
690,0.05000000030748799
691,0.050000000232162146
692,0.050000000174938775
693,0.05000000013155645
694,0.05000000009873466
695,0.050000000073953464
696,0.05000000005528138
697,0.05000000004124113
698,0.05000000003070532
699,0.05000000002281541
700,0.05000000001691898
701,0.05000000001252136
702,0.05000000000924827
703,0.05000000000681711
704,0.05000000000501502
705,0.050000000003681926
706,0.0500000000026978
707,0.050000000001972765
708,0.050000000001439705
709,0.05000000000104858
710,0.05000000000076219
711,0.05000000000055291
712,0.050000000000400294
713,0.05000000000028922
714,0.05000000000020856
715,0.050000000000150084
